 Information: X=1  (Run: 1/5)
0.000000000000000e+000	7.489237e-003	1.000000e-007
5.240202897743185e-003	3.762626e-001	5.030744e-006
1.084020289774257e-002	7.630067e-001	1.024570e-005
1.644020289774195e-002	1.134580e+000	1.534770e-005
2.204020289774133e-002	1.483525e+000	2.027998e-005
2.764020289774072e-002	1.802840e+000	2.498760e-005
2.954020289774051e-002	1.903297e+000	2.652443e-005
3.514020289773989e-002	2.173109e+000	3.084963e-005
4.074020289773928e-002	2.399780e+000	3.483252e-005
4.634020289773866e-002	2.579282e+000	3.842877e-005
5.204020289773803e-002	2.710802e+000	4.165085e-005
5.784020289773739e-002	2.790442e+000	4.443737e-005
5.954020289773720e-002	2.803477e+000	4.515511e-005
6.554020289773654e-002	2.813184e+000	4.731402e-005
7.174020289773586e-002	2.767030e+000	4.891087e-005
7.834020289773513e-002	2.662115e+000	4.987866e-005
8.564020289773433e-002	2.490719e+000	5.005269e-005
8.954020289773390e-002	2.380367e+000	4.975814e-005
9.704020289773307e-002	2.142157e+000	4.844036e-005
1.045402028977323e-001	1.883350e+000	4.615807e-005
1.120402028977314e-001	1.618004e+000	4.295679e-005
1.195402028977306e-001	1.356814e+000	3.890041e-005
1.270402028977298e-001	1.106748e+000	3.406985e-005
1.345402028977289e-001	8.712577e-001	2.856150e-005
1.420402028977281e-001	6.508649e-001	2.248527e-005
1.491402028977273e-001	4.546250e-001	1.631945e-005
1.495402028977273e-001	4.438762e-001	1.596239e-005
1.563402028977265e-001	2.651194e-001	9.771113e-006
1.630402028977258e-001	9.419464e-002	3.515197e-006
1.672402028977253e-001	-1.178438e-002	-4.405341e-007
1.736402028977246e-001	-1.737511e-001	-6.453487e-006
1.795402028977240e-001	-3.257991e-001	-1.191429e-005
1.864402028977232e-001	-5.099134e-001	-1.810760e-005
1.936402028977224e-001	-7.123269e-001	-2.424070e-005
2.011402028977216e-001	-9.369352e-001	-3.015176e-005
2.086402028977208e-001	-1.176617e+000	-3.545922e-005
2.095402028977207e-001	-1.206357e+000	-3.605039e-005
2.170402028977199e-001	-1.461148e+000	-4.055674e-005
2.245402028977190e-001	-1.724360e+000	-4.425188e-005
2.320402028977182e-001	-1.987421e+000	-4.706208e-005
2.395402028977174e-001	-2.238130e+000	-4.893127e-005
2.470402028977166e-001	-2.461314e+000	-4.982216e-005
2.543402028977158e-001	-2.636150e+000	-4.973272e-005
2.610402028977150e-001	-2.746595e+000	-4.882119e-005
2.673402028977143e-001	-2.797158e+000	-4.725279e-005
2.695402028977141e-001	-2.801306e+000	-4.654656e-005
2.754402028977134e-001	-2.775543e+000	-4.426040e-005
2.812402028977128e-001	-2.695926e+000	-4.147857e-005
2.869402028977122e-001	-2.564543e+000	-3.826079e-005
2.925402028977115e-001	-2.385270e+000	-3.466839e-005
2.981402028977109e-001	-2.158906e+000	-3.068895e-005
2.995402028977108e-001	-2.095401e+000	-2.963871e-005
3.050402028977102e-001	-1.821285e+000	-2.531943e-005
3.105402028977096e-001	-1.511883e+000	-2.072718e-005
3.160402028977090e-001	-1.173128e+000	-1.591128e-005
3.215402028977084e-001	-8.115790e-001	-1.092344e-005
3.270402028977077e-001	-4.342423e-001	-5.817230e-006
3.295402028977075e-001	-2.594745e-001	-3.471893e-006
3.332402028977071e-001	9.143721e-004	1.222675e-008
3.333333333333340e-001	7.478490e-003	1.000000e-007
